BoxID,X,Y,Velocity,Acceleration,Type
22,410,1688,2.52,0,car
22,696,2066,2.9555101082554263,,car
22,2623,226,34.55377443927074,,car
22,2355,319,3.3041646448081248,,truck
22,2976,236,186.64106866389292,,car
22,2975,237,228.28320726676327,,car
22,2854,239,230.2947884777248,,car
22,2452,269,8.712297515581065,,truck
22,2356,319,0.20364675298172571,,truck
22,171,1917,192.8601547650525,,car
22,2355,319,212.5744612318234,,truck
22,2975,238,196.406669866377,,car
22,164,1944,239.03073957966157,,car
22,1212,1751,76.34801372661899,,car
22,2616,271,80.48891560954216,,car

16,1537,1402,0.7235910447207041,0,car
16,266,1818,96.29512137174967,,car
16,1350,1609,79.32831786947206,,car
16,1272,1694,9.169193639573766,,car
16,3668,1284,176.27882205188462,,truck
16,3665,1283,5.476261498504248,,truck
16,3666,1276,5.4019196587879765,,truck

47,2295,683,0.6151682696628622,0,car

13,1141,1018,4.490630245299651,0,truck
13,1134,1018,4.407905625124022,,truck
13,1464,1484,40.7530812577405,,car
13,1401,1541,4.5865751928863,,car
13,1386,1555,0.7200000000000001,,car
13,1384,1562,1.3979871244042272,,car
13,1318,1644,7.691878314170084,,car
13,3673,1285,172.44709463484736,,truck

27,793,2056,6.135228113118534,0,car
27,2626,229,197.92862859121718,,car
27,2622,228,195.66895177314157,,car
27,2853,236,200.5910437881014,,car
27,2403,273,0.07200000000000001,,truck
27,2999,344,11.400808392390427,,car
27,2559,310,44.72376656767629,,car
27,2555,310,12.74583037702919,,car
27,2553,309,12.168213015886927,,car
27,2542,352,14.512063946937388,,car
27,2355,320,8.006257552689647,,truck
27,2540,352,1.5856355192792573,,car
27,2996,339,0.0,,car
27,2891,308,31.515445356205905,,car
27,2399,311,38.961581076747905,,truck
27,2400,310,3.4454840008335545,,truck

39,3011,354,9.188114061111781,0,car
39,3093,480,36.046050546488445,,truck
39,2500,431,11.56244679987761,,car
39,2389,528,42.22331943369683,,car
39,2389,528,50.363472477580416,,car
39,2049,964,38.59851437555596,,car
39,2373,558,82.01258283946434,,car
39,2224,769,19.00854544671948,,car
39,2218,779,1.5137133149972621,,car
39,2219,779,0.7952659932374828,,car

8,1787,676,1.5256526472300305,0,truck
